id_abonnement;produit_ar_ref;id_adherent;annee;qte;reglt_mois_depart;MR_No;reglt_mois_nb;nb;nb_initial;DO_Piece;id_abonnement_prec;reste_precedent
29148;ABOEUF6;260515;2025;1;1;41;12;25;0;AFA250249;0;0
28870;APS;260704;2025;1;1;31;12;50;50;;27853;0
29436;ABF1;156;2025;1;1;41;12;9;0;;0;0
28872;APF;260708;2025;1;1;31;12;50;50;;27859;0
29439;ABF1;260017;2025;1;1;41;12;25;0;AFA250273;0;0
28874;APS;258061;2025;1;1;41;12;50;50;AFA250176;27883;1
29284;ABF2;260714;2025;1;1;41;12;25;0;;0;0
29285;MPSSO;260793;2025;1;1;5;12;50;50;;0;0
29433;MPSH;189;2025;1;1;0;12;1;0;;0;0
29276;APDS;260681;2025;1;1;41;12;4;50;;0;0
28879;APS;260719;2025;1;1;41;12;50;50;AFA250176;27880;0
28880;APS;163;2025;1;1;20;12;50;50;;27881;0
28990;ABOEUF6;260672;2025;1;1;41;12;50;0;;0;0
28882;APS;1613;2025;1;1;5;12;50;50;;27888;2
28883;APS;342;2025;1;1;41;12;50;50;;27893;0
29278;MPSSO;260689;2025;1;1;5;12;50;50;;0;0
28885;APS15;258846;2025;1;1;41;12;25;25;;27901;0
28886;MPSSO;260733;2025;1;1;5;12;50;50;;27913;0
29218;ABF1;259191;2025;1;1;41;12;50;0;AFA250273;0;0
29114;ABOEUF6;259057;2025;1;1;41;12;50;0;AFA250249;0;0
28985;ABF1;260456;2025;1;1;41;12;50;0;;0;0
28890;MPSSO;260738;2025;1;1;44;12;6;50;AFA250159;27918;6
28891;MPSSO;260740;2025;1;1;44;12;6;50;;27919;6
28892;APF;152572;2025;1;1;5;12;50;50;;27925;0
28893;APS;21678;2025;1;1;41;12;50;50;AFA250175;27926;0
28894;APS;260720;2025;1;1;41;12;50;50;AFA250175;27934;0
28895;APF;260746;2025;1;1;41;12;50;50;;27939;0
28896;APF;258768;2025;1;1;41;12;50;50;;27959;0
28897;APS;259986;2025;1;1;41;12;50;50;;27956;0
28898;MPSSO;260748;2025;1;1;5;12;7;50;;27953;7
28899;MPSSO;260751;2025;1;1;5;12;7;50;;27954;7
28900;APS;260749;2025;1;1;5;12;50;50;;27955;0
28901;APS15;260660;2025;1;1;33;12;25;25;;27957;0
28902;MPSSO;260438;2025;1;1;5;12;50;50;;27967;0
28903;APS;259557;2025;1;1;41;12;50;50;;27971;0
28904;APS;260759;2025;1;1;41;12;50;50;;27975;0
28905;MPSSO;260023;2025;1;1;5;12;9;50;AFA250158;27981;1
28906;MPSSO;260474;2025;1;1;5;12;4;50;;27991;0
28907;APS;260764;2025;1;1;41;12;50;50;;27993;0
28908;APF15;260765;2025;1;1;41;12;25;25;AFA250227;27995;0
29222;ABF1;258036;2025;1;1;41;12;50;0;AFA250273;0;0
28910;MPSSO;260767;2025;1;1;41;12;4;50;AFA250158;28001;0
28911;APS;260586;2025;1;1;25;12;50;50;;28003;0
29140;ABOEUF6;259744;2025;1;1;41;12;25;0;AFA250249;0;0
29350;ABOEUF6;260775;2025;1;1;41;12;50;0;;0;0
28914;APS;260775;2025;1;1;41;12;50;50;;28013;0
29475;ABF1;257847;2025;1;1;41;12;50;0;;0;0
29578;ABF1;258594;2025;1;2;41;11;25;0;AFA250272;0;0
28917;APS;260778;2025;1;1;41;12;50;50;AFA250174;28026;0
28918;APS;593;2025;1;1;41;12;50;50;;28029;0
28919;APS;260780;2025;1;1;41;12;50;50;;28033;0
28920;APS;260781;2025;1;1;41;12;50;50;;28038;0
29208;ABOEUF6;258846;2025;1;1;41;12;25;0;;0;0
28922;MPSSO;260784;2025;1;1;5;12;13;50;;28045;0
28923;MPSSO;260785;2025;1;1;41;12;13;50;AFA250158;28046;0
29139;ABOEUF6;260635;2025;1;1;41;12;50;0;AFA250249;0;0
28925;MPSSO;260787;2025;1;1;5;12;15;50;;28061;0
29121;ABF2;259402;2025;1;1;41;12;50;0;AFA250260;0;0
28927;APS15;259555;2025;1;1;20;12;25;25;;28062;0
28928;MPSSO;260790;2025;1;1;5;12;16;50;;28067;0
28929;MPSSO;260794;2025;1;1;5;12;16;50;;28072;0
28930;MPSSO;260795;2025;1;1;5;12;16;50;;28073;0
28931;MPSSO;260796;2025;1;1;5;12;16;50;;28074;0
28932;MPSSO;260797;2025;1;1;5;12;18;50;;28081;0
28933;APS;258298;2025;1;1;5;12;50;50;;28083;4
28934;MPSSO;260798;2025;1;1;5;12;50;50;;28084;0
28935;APS;260800;2025;1;1;44;12;50;50;;28089;0
28936;MPSSO;260801;2025;1;1;5;12;19;50;;28092;0
28937;MPSSO;260804;2025;1;1;5;12;20;50;;28097;0
28938;APS;258038;2025;1;1;41;12;50;50;;28098;0
28939;MPSSO;260807;2025;1;1;5;12;21;50;;28102;0
28940;ABF2;257844;2025;1;1;41;12;25;0;;0;0
28941;ABF2;28504;2025;1;1;41;12;12;0;;0;0
28942;ABF1;259261;2025;1;1;41;12;22;0;;0;0
28943;ABF2;258234;2025;1;1;41;12;40;0;;0;0
28944;APS;259506;2025;1;4;34;9;38;50;;0;0
28946;ABOEUF6;258866;2025;1;1;41;12;25;0;;0;0
28949;ABOEUF6;259716;2025;1;1;41;12;25;0;;0;0
28950;ABF2;259444;2025;1;1;41;12;25;0;AFA250259;0;0
28951;ABOEUF6;1613;2025;1;1;5;12;100;0;;0;0
28952;ABF1;260465;2025;1;1;41;12;50;0;AFA250272;0;0
28953;ABOEUF6;260465;2025;1;1;41;12;50;0;;0;0
28954;ABOEUF6;258557;2025;1;1;41;12;25;0;;0;0
28955;ABF1;260778;2025;1;1;41;12;25;0;;0;0
28956;ABOEUF6;260778;2025;1;1;41;12;100;0;;0;0
28959;ABOEUF6;214;2025;1;1;41;12;50;0;;0;0
28960;ABF2;214;2025;1;1;41;12;25;0;;0;0
28961;ABF1;259137;2025;1;1;41;12;50;0;;0;0
28965;ABF2;258775;2025;1;1;41;12;50;0;AFA250259;0;0
28964;ABF1;425;2025;1;1;5;12;18;0;;0;0
28966;ABF1;260695;2025;1;1;41;12;46;0;;0;0
28968;APF15;258721;2025;1;1;41;12;25;25;;0;0
28970;ABOEUF6;258721;2025;1;1;41;12;75;0;AFA250248;0;0
28972;ABF1;258294;2025;1;1;44;12;10;0;AFA250272;0;0
28973;ABF2;258773;2025;1;1;41;12;12;0;;0;0
28974;APS15;260697;2025;1;1;41;12;25;25;AFA250166;0;0
28975;ABOEUF6;260697;2025;1;1;41;12;25;0;AFA250248;0;0
28977;APS;171;2025;1;1;41;12;42;50;;0;0
28980;ABF1;258990;2025;1;1;41;12;33;0;AFA250272;0;0
28981;APS;258510;2025;1;1;41;12;50;50;;0;0
